id,name,artists,album,album_id,album_artists,album_release_date,duration_ms,popularity,explicit,track_number,disc_number,is_local,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1ee3RAeeQG5FdKzKF0H0k0,Mermaid,['Sharks'],Maelstrom EP,6MjupphbhCcalH1T6f6IG8,['Sharks'],2019-06-13,316000,20,False,4,1,False,1ee3RAeeQG5FdKzKF0H0k0,0.32,0.846,5,-5.359,0,0.127,0.0212,0.654,0.0952,0.0795,149.721,3
4l5ZokDkl2khTGZu9W7Nje,Fingerbang,['MDK'],Rise,7LLhoDGkfpf36zLI15ECuY,['MDK'],2014-10-01,268629,47,False,2,1,False,4l5ZokDkl2khTGZu9W7Nje,0.709,0.859,2,-7.401,1,0.0383,0.00346,0.44,0.0476,0.402,111.961,4
33ocUBiuYwpxVygdiuLDJU,Lunar Tear,['Kotori'],Lunar Tear,6waf9VcbO1wpn7iAcFME7b,['Kotori'],2021-09-24,199448,27,False,1,1,False,33ocUBiuYwpxVygdiuLDJU,0.644,0.97,2,-1.092,1,0.053,0.00818,0.000942,0.309,0.576,145.038,4
1cUhtUXQuyHK6COqQNzxlx,Meowchine,"['Azazal', 'MachineDoll']",Meowchine,6kJ2St9Xz6xI5BaJDbrdIb,"['Azazal', 'MachineDoll']",2019-04-10,185739,32,False,1,1,False,1cUhtUXQuyHK6COqQNzxlx,0.722,0.948,5,0.552,0,0.268,0.0498,2.65e-05,0.113,0.432,114.964,4
0gsV37qmekGMBGqwa9lAfW,Pika,['Kotori'],Plastic Memories EP,7BTkGqTNHHxPF18LwMolew,['Kotori'],2016-09-05,206497,15,False,3,1,False,0gsV37qmekGMBGqwa9lAfW,0.661,0.931,5,-1.733,0,0.0477,0.000111,0.677,0.316,0.342,99.998,4
2kNfj5W2RMTabcrJLkL2DZ,Spicy (Kotori Remix),"['2TD', 'BLOOD CODE', 'MYLK', 'Kotori']",Spicy (Kotori Remix),4w0AmigVkfAb8S69HRExSc,"['2TD', 'BLOOD CODE', 'MYLK']",2020-08-21,256224,20,False,1,1,False,2kNfj5W2RMTabcrJLkL2DZ,0.674,0.954,6,-2.169,1,0.0707,0.0024,9.89e-06,0.532,0.337,149.973,4
1Obvrop5QHc298vZLeN8j8,Let You Go (Geoxor Remix),"['Sugar Rush', 'Geoxor']",Let You Go (Geoxor Remix),28bjr04rcsnBagmIey1uJw,['Sugar Rush'],2017-10-17,236808,32,False,1,1,False,1Obvrop5QHc298vZLeN8j8,0.524,0.773,2,-4.659,0,0.071,0.171,0.000678,0.319,0.214,75.023,4
5Oyh9x69QS9H4gkk8r4Tns,Zenith,['Geoxor'],Zenith,38DARibCvOlrNNHRAQBZSx,['Geoxor'],2022-07-01,333750,42,False,1,1,False,5Oyh9x69QS9H4gkk8r4Tns,0.696,0.948,6,-1.656,0,0.0471,0.0364,0.879,0.112,0.0747,128.005,4
6mOQxtya6VTVRQGPq48IPY,Bloodlust,['Geoxor'],Bloodlust,0ewUBRuuWcLZE8eaQ5hoR5,['Geoxor'],2021-05-21,225600,37,False,1,1,False,6mOQxtya6VTVRQGPq48IPY,0.58,0.986,11,-1.17,0,0.0473,0.00338,0.708,0.124,0.165,149.923,4
5gv2bOCCP70xcluP0NAbsN,Aurora,['Geoxor'],Heal Her,3pwqyP9w6GlYJ49Mbgaxar,['Geoxor'],2021-11-24,200727,36,False,3,1,False,5gv2bOCCP70xcluP0NAbsN,0.541,0.727,8,-1.817,0,0.033,0.0131,0.595,0.228,0.24,109.948,4
